variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
static_halo_0p85,0.010867605145947666,2.808617115020752,1.1787580251693726,0.22704075276851654,0.9922910700184215,
static_halo_0p85,0.037205539764216214,2.3786606788635254,1.020227074623108,0.11594468355178833,0.9691990065697018,
static_halo_0p85,0.01755794223659438,7.0334153175354,3.924550771713257,0.020202742889523506,0.995019711013012,
static_halo_0p85,0.04818759964762247,7.012276649475098,3.915278673171997,0.06866385787725449,0.9863500195037146,
static_halo_0p85,0.12346318742244386,11.4826021194458,5.253973960876465,0.5647756457328796,0.9787243679648469,
static_halo_0p85,0.03730807338261892,2.2508671283721924,1.6404253244400024,0.08442419767379761,0.9673905447852007,
static_halo_0p85,0.06266984733918872,2.6899051666259766,0.9707653522491455,0.37519800662994385,0.9544645671625778,
static_halo_0p85,0.11275784757707162,8.747361183166504,4.6452555656433105,0.1146959513425827,0.9745471032193099,
static_halo_0p85,0.07698852200440814,8.456350326538086,4.249292373657227,0.43796002864837646,0.981955826817411,
static_halo_0p85,0.11887592304699066,9.157468795776367,3.322462797164917,0.933818519115448,0.9743700936844724,
