source_id,tier,P_vgrf_below_25,vgrf_default,vgrf_mc_p50_kms,vgrf_mc_width_kms,vgrf_mc_sigma_kms,static_Lz_kpc_kms,static_E_mean,retrograde_flag,width_quartile,E_tertile
1975254948340546816,A,0.968000,20.140084,21.178087,1.294302,1.469591,20.489305,-133688.510823,0,1,3
1984739296977773184,C,0.635200,23.967416,24.066110,2.671125,2.672879,-232.556122,-133273.450294,1,2,3
1990016579140606080,C,0.796000,21.321023,21.862052,3.791389,3.731450,149.042480,-140868.730280,0,2,3
1994900983444750848,A,1.000000,12.213923,12.282224,1.782495,2.010440,71.705849,-132651.412056,0,1,3
2000611267027733632,A,0.964000,15.627807,16.089954,4.611899,4.577343,-144.945221,-131616.885378,1,3,3
2005238935368121728,B,0.884000,21.474059,21.505494,2.708934,2.711291,154.184402,-135967.441674,0,2,3
2020424226064132608,A,0.998000,14.132933,14.123967,2.705008,2.712820,64.053040,-144708.991470,0,2,2
2024878412057833216,A,1.000000,20.220149,20.266092,0.389754,0.416676,67.327309,-148822.713394,0,1,1
2026085920679467136,A,0.996000,17.413246,18.280320,1.574835,1.818057,-46.433361,-146386.191834,1,1,2
2030594360695267712,C,0.593200,21.897112,22.995249,8.824577,9.048485,104.513969,-148017.009464,0,4,1
2032858225125542912,C,0.734000,20.053479,21.504149,5.699069,5.688926,-132.332489,-145898.114298,1,3,2
2035869443841846144,A,0.984000,18.349421,19.175032,2.080807,2.188125,118.993660,-151752.405302,0,1,1
2040754058596128896,A,1.000000,8.226625,8.295196,2.981418,2.962618,-13.454866,-150577.684865,1,2,1
2045042222680719616,B,0.888000,18.039943,18.911031,4.440001,4.318141,97.876984,-148550.870390,0,3,1
2049380100970450944,C,0.570000,24.525978,24.742848,1.488920,1.495846,-45.025501,-147925.542538,1,1,1
2051316791924631040,A,0.978000,14.863300,15.701880,4.561034,4.521513,93.558578,-145935.665084,0,3,2
2052174067404219648,C,0.784000,22.386166,22.607051,3.435317,3.410536,109.457436,-141376.285442,0,2,3
2065327799875676416,A,0.968000,19.763091,20.137089,2.443573,2.497570,-65.828392,-144503.755371,1,2,2
2067323512259774592,C,0.641200,19.399163,22.396294,8.573220,8.455931,-88.556107,-145137.740736,1,4,2
2067490779766225408,B,0.942000,13.996241,14.793832,4.444875,4.862957,-65.773117,-145403.859623,1,3,2
2067782150345882112,B,0.864000,15.794893,15.968025,5.984833,6.199960,82.583138,-145017.783867,0,3,2
2067806477040504192,C,0.816000,12.545430,14.144291,9.377233,9.461163,-88.800339,-145218.220072,1,4,2
2067929587982279552,A,0.980000,10.351119,10.663261,5.042753,5.095596,67.691193,-145085.958596,0,3,2
2069119053409349760,B,0.866000,21.321837,21.400954,2.684690,2.805160,65.999496,-144652.037901,0,2,2
2074704228890789504,A,1.000000,14.267667,14.360617,2.906633,2.886743,-79.661873,-144116.846826,1,2,2
2077092436860985728,B,0.920200,24.600998,24.602890,0.270135,0.273781,183.638901,-144579.820728,0,1,2
2083455345012762368,C,0.547000,23.794328,23.505671,9.371396,8.787867,-176.693405,-144119.456646,1,4,2
2088349133825350400,A,1.000000,15.464128,15.476260,0.094592,0.094054,-49.711784,-144261.214635,1,1,2
