R_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
17.25,201.01171304626072,212.41069853470634,212.4075478487355,212.4075478487355,212.4075478487355,193.30340592144924,229.93564961347596
17.5,200.67576448407962,212.01303641662568,212.00992743307202,212.00992743307202,212.00992743307202,192.7677909177621,229.65111366131197
17.75,200.34577741549447,211.6226782800557,211.61960819701952,211.61960819701952,211.61960819701952,192.2420225778009,229.37157775113337
18.0,200.02153453133215,211.2394786837448,211.2364450511343,211.2364450511343,211.2364450511343,191.7259152981253,229.0969404253505
18.25,199.70282706622982,210.8632836979359,210.8602845035043,210.8602845035043,210.8602845035043,191.21927444694884,228.82709171716286
18.5,199.38945455763587,210.4939329729401,210.4909667070241,210.4909667070241,210.4909667070241,190.7218985856581,228.56191510554677
18.75,199.0812245931966,210.13126150751822,210.1283272099199,210.1283272099199,210.1283272099199,190.23358137325846,228.3012891846777
19.0,198.7779525504625,209.77510117003405,209.77219845970345,209.77219845970345,209.77219845970345,189.75411320973643,228.04508909814865
19.25,198.47946133216425,209.42528326074512,209.4224121177413,209.4224121177413,209.4224121177413,189.2832840416891,227.79318892381283
19.5,198.18558109972935,209.0816405160483,209.07880085408533,209.07880085408533,209.07880085408533,188.82088556544986,227.54546353650602
19.75,197.89614900722427,208.7440056988262,208.7411973330172,208.7411973330172,208.7411973330172,188.3667096587508,227.3017873284745
20.0,197.61100893749392,208.4122121285184,208.40943478983024,208.40943478983024,208.40943478983024,187.92054895707645,227.06203471359126
20.25,197.33001124192566,208.0860943594648,208.08334770750136,208.08334770750136,208.08334770750136,187.4821975982604,226.82608076515143
20.5,197.05301248497315,207.7654887472759,207.76277238157567,207.76277238157567,207.76277238157567,187.05145184694518,226.59380174827993
20.75,196.7798751943293,207.45023391827866,207.44754738829266,207.44754738829266,207.44754738829266,186.62811061475867,226.36507556127665
21.0,196.51046761743436,207.14017115512047,207.13751396901662,207.13751396901662,207.13751396901662,186.2119758900192,226.13978209832987
21.25,196.2446634848316,206.8351447099168,206.83251634234068,206.83251634234068,206.83251634234068,185.80285308901296,225.91780354440212
21.5,195.98234178074046,206.53500205484795,206.53240195375557,206.53240195375557,206.53240195375557,185.40055133934484,225.69902461166964
