source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
834681165461574400,4811.1,17.4,2.642,0.043,-0.6239,0.0147,-0.6269,0.013,0.3169,0.0137,0.1581,0.0356,-0.0707,0.0374,0.5208,0.0429,0.3801,0.0243,0.3883,0.0431,0.269,0.03,0.2424,0.0359,0.2046,0.0476,-0.1866,0.036,0.1071,0.0318,-0.6529,0.1482
840204184167310208,4937.1,18.1,2.513,0.047,-1.0297,0.0139,-1.0417,0.0131,0.3352,0.0163,0.1256,0.047,-0.2107,0.0467,0.5552,0.0547,0.3164,0.0269,0.0905,0.038,0.3369,0.031,0.3835,0.041,-0.0157,0.052,-0.3634,0.041,-0.0373,0.0344,0.1944,0.146
842011850002483200,4860.6,19.6,1.679,0.056,-1.3048,0.0163,-1.324,0.0158,0.2362,0.0208,-0.4255,0.0606,0.2354,0.057,0.6045,0.0623,0.1615,0.0333,-0.2771,0.044,0.2318,0.0372,-0.08,0.0534,-0.3135,0.0615,-0.3593,0.0528,-0.0686,0.0443,-0.8628,0.1499
843000341019494656,6006.7,60.2,4.281,0.051,-0.9684,0.0139,-0.961,0.0127,0.2411,0.1764,0.184,0.1225,1.0557,0.0941,0.1525,0.2044,0.2917,0.0215,0.167,0.0214,0.3252,0.0219,0.284,0.0305,-0.2598,0.1711,-0.5687,0.047,0.0218,0.031,,
868860442188268928,4903.6,11.9,3.048,0.03,-0.4414,0.0093,-0.4486,0.0082,0.2121,0.0086,0.0788,0.0215,0.0413,0.0246,0.3433,0.0285,0.2662,0.0155,0.3256,0.0248,0.1293,0.0185,0.1414,0.0204,0.1463,0.0295,-0.1167,0.0212,0.07,0.0174,-0.1566,0.0977
874287017404859648,4911.9,16.6,1.652,0.057,-1.8299,0.0137,-1.8885,0.0144,0.374,0.0231,-0.3617,0.072,0.3428,0.1273,0.5556,0.0648,0.3657,0.0343,-0.3196,0.032,0.2604,0.0337,0.2249,0.0547,0.0099,0.0571,-0.4123,0.0549,-0.1135,0.0419,-0.5987,0.1105
876060632737523968,4365.3,8.4,1.089,0.039,-1.3511,0.0114,-1.3651,0.0108,0.1948,0.0125,-0.4669,0.0266,0.2118,0.0281,0.2097,0.0216,0.1883,0.0214,-0.2273,0.0246,0.1846,0.0216,0.2552,0.0293,0.0068,0.0297,-0.201,0.0312,0.0015,0.0239,-0.1671,0.0498
880132845850389632,4730.8,13.3,1.573,0.047,-1.3924,0.0129,-1.4305,0.0126,0.1588,0.0165,-0.3362,0.0431,0.3304,0.0425,0.4124,0.04,0.1441,0.0267,-0.3496,0.0307,0.0947,0.0278,0.1808,0.0396,-0.0491,0.0433,-0.3733,0.0407,-0.0222,0.032,-0.2518,0.0895
900333107835952512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921439470481762560,5012.4,18.7,3.158,0.04,-0.6072,0.0125,-0.6161,0.0113,0.1492,0.0127,0.0835,0.0361,-0.1329,0.0381,0.3059,0.0493,0.2001,0.0221,0.1839,0.0365,0.1013,0.0271,0.1374,0.0321,0.1085,0.046,-0.0474,0.0322,0.0373,0.0277,0.4396,0.1593
925153105364502912,5206.6,18.0,2.275,0.04,-0.8497,0.0104,-0.8739,0.01,0.1178,0.0131,-0.2326,0.0418,0.3604,0.0428,0.2987,0.0599,0.0558,0.0214,-0.3359,0.0289,0.1188,0.0249,-0.0227,0.0311,-0.1881,0.0453,-0.3391,0.0313,-0.0781,0.0254,-0.2725,0.1551
926920604665974656,4678.5,11.8,1.638,0.043,-1.3,0.012,-1.3156,0.0115,0.3244,0.0144,-0.1853,0.0356,0.3237,0.0363,0.4966,0.0332,0.27,0.0238,0.0467,0.0282,0.3507,0.0249,0.3197,0.0341,0.0831,0.0378,-0.3593,0.0355,0.0475,0.0278,-0.1705,0.0785
930290848322343936,4649.1,11.7,1.703,0.042,-1.1999,0.0122,-1.2172,0.0115,0.2231,0.0138,-0.2866,0.0335,-0.0261,0.0346,0.3466,0.0317,0.1669,0.0233,-0.2388,0.0291,0.2388,0.0248,0.2354,0.0332,0.0116,0.0372,-0.3739,0.0345,-0.1353,0.0273,-0.2408,0.0793
931748732021573632,4852.7,17.9,1.873,0.053,-1.3544,0.0151,-1.3725,0.0148,0.1961,0.0197,-0.302,0.0567,0.078,0.0543,0.4083,0.0573,0.1991,0.0314,-0.2177,0.0394,0.1686,0.0343,0.2458,0.0494,-0.0132,0.0565,-0.5625,0.0494,-0.158,0.0406,-0.1732,0.1327
932820785922327936,5342.6,62.1,4.263,0.131,-2.1224,0.0208,-2.1272,0.0451,0.4098,0.0455,0.8886,0.2131,-0.2038,0.4556,0.2246,0.2304,0.5143,0.0728,-0.3195,0.0585,0.2679,0.0752,,,,,-0.1861,0.1092,0.0777,0.0898,1.1758,0.3227
936097708530500096,4586.8,11.8,1.319,0.048,-1.5808,0.0132,-1.5992,0.013,0.2613,0.0172,-0.4113,0.0424,0.2142,0.0415,0.3908,0.0352,0.245,0.0276,-0.2366,0.0297,0.2746,0.0277,0.1441,0.0409,-0.0551,0.0414,-0.2699,0.0424,-0.0303,0.0327,-0.0939,0.0736
952103303591990528,5049.9,15.9,2.428,0.037,-0.703,0.0107,-0.6815,0.0099,0.2581,0.0116,0.0966,0.033,0.1178,0.0352,0.4238,0.0452,0.3438,0.0198,0.214,0.0299,0.2134,0.0236,0.1927,0.028,0.1318,0.0403,-0.1302,0.0285,0.0398,0.0236,-0.1265,0.1361
989349874162583936,4730.2,16.0,1.426,0.053,-1.3601,0.0154,-1.3905,0.0148,0.2503,0.0191,-0.5312,0.0512,0.3957,0.0493,0.4263,0.0481,0.2198,0.0309,-0.281,0.0389,0.2143,0.0334,0.1538,0.048,-0.077,0.0525,-0.3076,0.0484,-0.0424,0.0397,-0.6924,0.1134
997917062607474176,4223.4,6.7,1.264,0.03,-0.8101,0.0101,-0.8374,0.0089,0.1142,0.0084,-0.3511,0.0162,0.0,0.0185,0.1352,0.0144,0.1062,0.0159,-0.2828,0.0224,0.0557,0.017,0.0868,0.0201,-0.1114,0.0219,-0.2409,0.0215,-0.0909,0.0169,-0.1222,0.0411
1031160835329490944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090925339612868736,4327.4,7.0,1.363,0.029,-0.6989,0.0096,-0.73,0.0084,0.0414,0.0079,-0.3933,0.0157,-0.055,0.0182,0.0665,0.0147,-0.006,0.015,-0.3402,0.0218,0.0019,0.0163,0.0379,0.0188,-0.1987,0.0216,-0.2542,0.0202,-0.1566,0.0159,-0.0339,0.0448
1118926121200749440,5034.1,17.5,2.288,0.04,-0.6784,0.0119,-0.6929,0.0109,0.1855,0.0127,-0.1893,0.0365,0.335,0.0384,0.3467,0.0495,0.2223,0.0217,0.0854,0.034,0.1544,0.0262,0.0654,0.0315,,,-0.2054,0.0317,-0.1061,0.0268,-1.7124,0.1513
1139360476084336640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159466141412768640,5859.0,51.5,4.353,0.046,-0.7652,0.0132,-0.7686,0.012,0.2459,0.1507,0.2759,0.0955,0.4899,0.088,0.4067,0.1569,0.3411,0.0211,0.1616,0.0234,0.3,0.0221,0.1258,0.0286,-0.0667,0.1421,-0.2756,0.0407,-0.1198,0.0292,,
1161846107346475648,4730.5,20.1,1.641,0.069,-1.7836,0.0195,-1.7905,0.0197,0.3042,0.0285,-0.2594,0.0829,-0.0093,0.087,0.3755,0.0695,0.3586,0.0435,-0.1769,0.0496,0.2427,0.0454,0.1371,0.0741,-0.4309,0.073,-0.1391,0.0726,0.1415,0.0599,-0.0838,0.1386
