source_id,tier,wp5_group,barred_R_peri_kpc,static_R_peri_kpc,barred_ftlyap_norm,barred_ftlyap_tchaos_periods
2871996462779346304,A,tierA_control,0.11579251237736508,0.11250443734811946,0.5631055278450047,9.647500980352316
2896872638481186560,A,tierA_control,0.10466184305188923,0.11788228075443574,0.5605282062271375,5.75873635531891
2960024944247308288,A,tierA_control,0.010750337002873893,0.1992564397334395,1.0180554580297225,0.0
3100026206493299968,A,tierA_control,0.022150753518681954,0.06615236083329887,0.28833040857976816,14.681988761850695
3168941121415464704,A,tierA_control,0.013651391052982331,0.06935325977703669,0.23408761864522584,0.0
3203188743957945344,A,tierA_control,0.014720563410627214,0.23312015974347758,0.4452455380482223,0.0
3490408561547267840,A,tierA_control,0.012442134012631625,0.13632002527100673,0.5242899322768453,0.0
3506183087368009216,A,tierA_control,0.0076728156660744095,0.07370869880029259,0.3660802115045765,0.0
3535960301790560896,A,tierA_control,0.013945326143458591,0.08277187573466252,0.2521955040351646,3.3999983935875275
3617059489180390144,B,sgrA_table15,0.02328019690893198,0.02559170888955054,0.7788082445424396,17.444126165728978
3645405616203675520,A,tierA_control,0.1077677934583914,0.1921238095261699,0.33361701259546034,0.0
3665969030558887936,A,tierA_control,0.012592276130360206,0.008200644910992209,0.5148579194838045,24.760053460454607
3682235927134907392,A,tierA_control,0.016215702630586408,0.03668451636246168,0.5398221158689324,10.357258377339113
3799290794021416832,A,tierA_control,0.01620787794200349,0.12461701329237228,0.17829913128008773,15.16326040953386
3959344880610523648,A,tierA_control,0.01711010745665687,0.14632539921231014,0.279574269168168,16.726004717216018
4038757589074380800,C,sgrA_table15,0.0045282190503225074,0.005475942365406847,0.4751563729753342,0.0
4040618645539029632,C,sgrA_table15,0.008167323861560946,0.07743084536351459,0.555635061671856,0.0
4046672144244076160,C,sgrA_table15,0.0028742838128168104,0.02458852642624404,0.4291648245030876,1.536759337394201
4049838158028311424,C,sgrA_table15,0.010294561749034328,0.03061126639032915,0.47254358773464,0.7182460704167783
4051445163000749184,C,sgrA_table15,0.00282891246481212,0.04343711281572014,0.39979335553065404,9.046551964854038
4074194608222495104,C,sgrA_table15,0.01634750082655658,0.15717441906457905,0.19221088638073602,0.0
