variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc
mcmillan17,0.022585281445467897,2.165996551513672,1.2921619415283203,0.023077940568327904,0.9793608069798049
mcmillan17,0.13208939640666334,5.597435474395752,2.6989657878875732,0.13659274578094482,0.9538916753534697
mcmillan17,0.1695415701256896,9.963773727416992,4.667995929718018,0.171941339969635,0.9665377884438663
mcmillan17,0.0038225097493898596,1.8510454893112183,1.5809062719345093,0.007262879051268101,0.9958784023970162
mcmillan17,0.07289374684849152,8.569323539733887,3.92707896232605,0.08750126510858536,0.9831307766441689
mcmillan17,0.07697451678423967,2.9619929790496826,1.0890169143676758,0.4897439777851105,0.9493416649636675
mcmillan17,0.051821215343871026,6.276383876800537,3.0604746341705322,0.059233374893665314,0.9836221441659027
mcmillan17,0.021425469213240494,2.4538960456848145,0.9220783710479736,0.35224276781082153,0.9826887383442607
mcmillan17,0.07933322536155872,7.243386745452881,3.369910955429077,0.3783678710460663,0.9783323066626197
mcmillan17,0.011580637646302386,5.707122325897217,2.799891471862793,0.013236885890364647,0.9959499076206166
mcmillan17,0.03469368488328091,1.807770848274231,1.1208868026733398,0.047445837408304214,0.9623399156304792
mcmillan17,0.055703557028694825,6.971467971801758,3.3072915077209473,0.34471315145492554,0.9841462367041536
mcmillan17,0.006012520205811723,5.93951416015625,3.0667459964752197,0.010384045541286469,0.9979774642251052
mcmillan17,0.12383660549206683,5.552849769592285,2.5112531185150146,0.46869638562202454,0.9563701084366399
mcmillan17,0.029551475405491492,6.080538749694824,3.1300549507141113,0.03192479908466339,0.9903269921337352
mcmillan17,0.07690380230233329,8.4456148147583,4.112637042999268,0.07929779589176178,0.9819527992233694
mcmillan17,0.022535679774780822,2.0576162338256836,1.104526400566101,0.0227639302611351,0.9783326596221767
mcmillan17,0.03596196806615453,2.8273301124572754,1.1668649911880493,0.2622124254703522,0.9748806848516965
mcmillan17,0.026164532875046942,2.3789186477661133,0.992932915687561,0.1983298808336258,0.9782423052261571
mcmillan17,0.015015659385929773,6.995211124420166,3.398538589477539,0.019794166088104248,0.9957160702930135
mcmillan17,0.09113652906359729,7.003190517425537,3.573188066482544,0.09141307324171066,0.9743072095587421
