source_id,static_E
845653054556641280,-123627.75604691326
5923244343452644736,-175321.3284823559
4240021440094368128,-161279.3436398678
4123487466918347904,-180236.53423006757
2884470147318511104,-121959.78605589597
1697445537228565248,-122173.96503482104
4038017926970566528,-206990.50070761924
6849260148812422400,-150931.4198040566
3582334231916457728,-140828.28142439268
4073590598386404480,-186828.7909410568
5045570250395862784,-130685.39924232963
6327275181141353984,-151432.12417936913
6733415324537129984,-178544.55825803377
2261071037466684288,-124443.72217852673
6729428671475801984,-189557.4725218583
4123672116155038848,-189899.2157701721
4657255866327694336,-140481.80291776656
3641934737167858432,-151360.43138738524
523562736800603392,-137446.00013938244
6648330927187267200,-170161.37063856504
6637312446288486016,-165732.47505329837
4112655451932785152,-207602.12406526084
4735913897311324928,-142531.0601926242
1362491586253153408,-138647.96175179083
6728019303748754944,-196525.12356335355
6358856797224069632,-147101.18113977424
1446401812558862336,-141352.01917469339
4409488269621527168,-150139.87729221705
1289705840640686720,-142856.26317400046
6872017634330137728,-162559.18654637766
6730360988619748736,-188290.9028627161
4991186859097037696,-138656.18794305788
4052928468486868992,-195023.64568575617
4108780090138109568,-187681.30739535543
6307957002359769088,-157019.33335653943
5871390894093751936,-158880.11446120116
3633321094356546560,-147002.34709365934
4656999508279668992,-141977.45692463286
5436609293074804224,-137588.11066958468
5502772847653534464,-123110.52870545413
344945698470784768,-121639.76979374781
5851731901072907136,-153227.56451515417
5999863605076694016,-164796.65267520054
1181868248447866368,-146469.0572167094
6280536488033208576,-146811.46161950534
3529967585461145088,-141839.5227639405
4197770193232802048,-180186.06754291969
6590130409473313792,-153527.8698763058
6587690971127261056,-150986.83980073108
77358206452039808,-135148.59275978955
1810259175468206464,-150347.01149226018
5494481537843688192,-135851.54323012326
672464610083268480,-130617.03660962472
6343298673331565824,-145787.242956704
6758472855233779712,-180949.75073374837
4038766728766148224,-216819.41070905348
2228487560136280320,-113457.32856946165
4750641958644697984,-144266.5759540201
774913461427063296,-136773.48390557774
4111001236689256832,-183343.0923833178
431014850227388672,-132700.66039532563
6018789464360867328,-163879.07400802418
6736902842301731328,-184438.1197528983
780643879807822976,-119404.40730988399
4049208064735045504,-198950.87782969564
6034362461708357760,-193991.95172048223
4036336430101629568,-206815.35551185688
4095101753105353344,-150442.17170678827
6463700350533317120,-146799.1977544612
4225321862971693312,-155138.13364131155
4122798347963912320,-182102.89474427456
4427973881878902528,-154052.38422192857
4126627049268254464,-179203.75810630713
4575235425557773568,-145829.67456449295
6032849366273302656,-205100.81394224957
3682235927134907392,-144757.00049530872
4712594355197715456,-137789.89549649486
2588848437391155328,-134933.27200781222
2908848553489941248,-112661.14354507085
231283683952040960,-135841.54217182173
660335416280351744,-141073.6088378507
5816620749528020224,-166890.27903766636
4113396836325523328,-190430.21101286498
6728184161786440064,-187847.46603787917
6352017560021254912,-149193.91068936192
5832515220937976448,-166175.9090397901
4686790432202212992,-145714.6099121709
6727168419180571008,-191156.00132913445
6758417707853602432,-180681.19750495453
6029463970017633280,-191966.68909957845
1424779091765210496,-135743.579825888
5603412663072782848,-119753.8966481695
6146424240134520448,-146610.4956823479
2883692380280736000,-121590.93649391057
4092891283749351552,-184700.04343666908
6249378248352660864,-169590.4571547835
3660200099206272896,-147484.72744155079
5129467316920818048,-128757.37883479767
217189761654075520,-121318.54943910838
4121084999614519552,-193364.27908957104
6104183069278959616,-147501.90199730522
6157933103219224064,-144934.09675898383
2581881592415406592,-136851.9740146159
6698217350286688768,-167891.91851432194
6723695298150331904,-187119.26771954403
3738499345877271808,-144805.14129867314
5956068716922182144,-198948.72897571465
2617411589112364800,-146668.5319132866
6216105690764705408,-159369.33568478512
5955313279392426240,-192270.82162405015
6728013256434430720,-203390.50756238983
6695777460966929664,-159526.47662298303
4035475306301864832,-178298.11558967162
4100556636470283776,-180459.85567448198
4064134381757292800,-150898.5450787119
4164924211801176192,-180502.52853808436
2067490779766225408,-145403.85823880916
5931635678843407232,-159646.13073099309
4101768504460976384,-187650.63984308898
6037874649751699072,-180510.21998778763
6028096413661494784,-192881.69808147228
4045430280219827200,-197668.80124051764
4040813362179415936,-192146.8965047565
3914509682647783168,-132425.03064373403
4123761107874507904,-195633.1904527149
5817948134948146304,-168581.21179500088
4531600000954205184,-151617.9846891331
5977895500239093888,-196320.2786439377
3543828956755196928,-138624.29704354794
2020424226064132608,-144708.9791944682
1471118868311834624,-141939.88350899992
6257424959776033920,-160037.9264330057
2108506549210276992,-137567.01488292246
6030143571261821440,-191090.91552551268
5190928676886233216,-147467.5850094358
4086168732220176512,-191115.09748527894
1280090748893501184,-144990.78989094298
4037200641849255168,-191160.33428136286
4072848217570200832,-187864.35655583357
853354927350339968,-132478.68912219367
6035441877205289984,-176334.75149408742
3992121768910622464,-130676.66971694263
2074704228890789504,-144116.83218528176
4392943716297078144,-163241.5867104832
6031390000741201408,-184441.55448104444
4128624350821284992,-180991.93995722217
5459274728848445440,-136762.90148439526
5946444622911284352,-181162.047599683
6726963394620177408,-190216.54023668048
6773347216034985216,-168225.49391625132
4548259045209693568,-154350.45846665397
4038634954762496128,-199827.66439131083
4684098381060584832,-145507.7154590046
4136345529471924608,-171676.53979070028
4745198860691552128,-139286.57337472704
6480189073580376960,-148293.39213119133
6663054349955291136,-172938.62822683982
6344623481763253760,-149452.5994941455
3145968750099740032,-127332.12423491247
5948656737248094720,-150594.51010662358
660293566119037440,-122990.0600027836
2668171329387172736,-147946.94476434894
