variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel,source_id
static_halo_0p85,0.0549499286868507,3.717926025390625,1.5287861824035645,0.5220708250999451,0.9708710652798088,,6763593315254529280
static_halo_0p85,0.1245023326949759,5.129672050476074,2.3327407836914062,0.5635609030723572,0.9526082221047883,,4181845863242790144
static_halo_0p85,0.0279644616860024,11.439828872680664,5.734245777130127,0.1103279367089271,0.9951229568111944,,5727016526150639232
static_halo_0p85,0.073488012830731,12.049428939819336,5.054590702056885,0.7049052119255066,0.9878761830807284,,1687305493104393600
static_halo_0p85,0.0746304589659063,8.186697959899902,4.394503593444824,0.0780441015958786,0.981932576655474,,3673477423666158080
static_halo_0p85,0.0070563335066561,2.927553415298462,1.4391151666641235,0.0514021627604961,0.9951909561334148,,6734915951749830912
static_halo_0p85,0.0857687903027033,2.794391632080078,1.0651124715805054,0.359555184841156,0.9404416575992344,,4036307121241060480
static_halo_0p85,0.0262792062205867,9.910127639770508,5.450081825256348,0.0270007327198982,0.9947105212924752,,3023756967519625600
static_halo_0p85,0.1849456221748434,8.07303524017334,0.1201212406158447,0.1850193291902542,0.955208028389096,,2067929587982279552
static_halo_0p85,0.0258699933865161,9.02719783782959,3.861333131790161,0.7398045063018799,0.9942848117635188,,5026571548460661376
static_halo_0p85,0.0684580063504459,5.700395107269287,3.385909080505371,0.0763613358139991,0.9762663375190388,,6724074320421945472
static_halo_0p85,0.10028112275098,4.397235870361328,1.7961817979812622,0.6406770348548889,0.9554060060675458,,6765508733218620928
static_halo_0p85,0.2297185632998863,12.664528846740724,1.8454619646072388,0.23089699447155,0.964368829603656,,5602125925243507840
static_halo_0p85,0.0216138875457081,8.01653003692627,4.107550621032715,0.3901888430118561,0.9946221695583466,,2729064001321068160
static_halo_0p85,0.1351281730672729,10.433945655822754,5.479150295257568,0.1356982886791229,0.9744295147796382,,3154630702704567808
static_halo_0p85,0.158967608326313,10.16138744354248,4.376650810241699,0.7234397530555725,0.9691933838463188,,4731020383373462144
static_halo_0p85,0.0362348775507819,8.030916213989258,4.3278632164001465,0.0379922725260257,0.991016685533811,,5241331148942594944
static_halo_0p85,0.118647254555717,4.344548225402832,1.7745909690856934,0.6369795203208923,0.9468330459248364,,5914371456406984704
