source_id,tier,vgrf_default_exact,rect_t_min_myr_p16,rect_t_min_myr_p50,rect_t_min_myr_p84,rect_abs_t_min_myr_p50,rect_d_min_pc_p16,rect_d_min_pc_p50,rect_d_min_pc_p84,v_radial_sph_kms_p50,p_rect_past,p_rect_near_now,p_rect_future,p_rect_d_lt_100_pc,p_rect_d_lt_500_pc,p_rect_d_lt_1000_pc
1454381071520615168,A,4.558981893428205,-24.072545217814522,4.070678810622524,56.4977866087081,16.416234078341166,8097.905921918759,8113.638429329354,8126.008032881717,-0.0427439819061769,0.2246,0.3902,0.3852,0.0,0.0,0.0
203521290228598656,A,7.752757083853407,-472.0881911538196,-170.58699375071626,162.24190042613353,254.77695783230183,7167.889284481361,8120.578032361929,8413.50145974952,1.5712880753724794,0.6816,0.0208,0.2976,0.0,0.0,0.0
711230886115419264,B,19.76465591349188,74.50116011495825,166.72301539085038,274.2649000383615,166.72301539085038,7088.256407966224,8123.020797704881,8703.655893255469,-8.092174561384294,0.019,0.0166,0.9644,0.0,0.0,0.0
5580668818372690176,A,19.54392258875876,-388.775373580937,-316.9605217173335,-217.8912208222551,316.9605217173335,6604.330183534059,8124.085304170474,9397.72162708385,12.37455325626385,0.9996,0.0002,0.0002,0.0,0.0,0.0
1506596947444170880,A,14.437820110024044,-80.43576246927564,-52.76547695025636,-35.847818625481175,52.76547695025636,8111.328760873558,8132.717607866087,8145.706826429299,1.3794908992802801,1.0,0.0,0.0,0.0,0.0,0.0
5004222016120533888,B,12.442028976851685,57.90864899651969,127.41990157208471,231.00152908388316,127.41990157208471,8006.094315107073,8133.121828539325,8225.277027686645,-3.3076331979346696,0.0,0.0014,0.9986,0.0,0.0,0.0
5129467316920818048,B,13.078003806659543,202.6083487295809,418.4073049410687,605.3976553105576,418.4073049410687,6211.255764564769,8138.453542599717,9550.167095692783,-10.69685693411802,0.0,0.0,1.0,0.0,0.0,0.0
4750641958644697984,A,11.687555402642229,49.895195243098975,74.37519519433923,111.69407644404208,74.37519519433923,8106.497140369899,8140.507372278378,8161.286276130205,-1.2924491724911862,0.0,0.0,1.0,0.0,0.0,0.0
1511010421478640256,A,17.7860553624334,40.38247153696589,44.95060994878351,49.86260325759612,44.95060994878351,8157.194074928835,8165.250127067642,8176.1364140370815,-1.8124029133163224,0.0,0.0,1.0,0.0,0.0,0.0
5376610455375993216,B,17.329906762948372,-90.52191440368253,-19.904816680730384,112.40112607032307,73.47943774816251,7938.168855809605,8179.826658867993,8261.327948545873,0.7537420930642376,0.5396,0.0604,0.4,0.0,0.0,0.0
5465519061538436352,A,8.696266329748381,-40.7538160957147,-5.558464160594719,55.76930164777359,36.40904341125784,8168.757653200762,8184.810326858562,8192.25999255411,0.055481050901307956,0.4716,0.1172,0.4112,0.0,0.0,0.0
5507141928905316736,A,20.451392792840235,52.794195157867904,55.20603195937724,57.992195230985416,55.20603195937724,8191.255996492824,8205.204902820748,8219.467709159313,-2.8876130334547425,0.0,0.0,1.0,0.0,0.0,0.0
2425387380879613696,B,11.344449977544468,-523.6200147744681,-117.7010657717046,-10.843597301342964,117.7010657717046,7074.926694297334,8205.745508271491,8352.074066318808,2.4916608432176055,0.8466,0.0962,0.0572,0.0,0.0004,0.0016
360119435674339840,A,8.543468990582374,-411.6283729044085,157.67358554395335,602.9883282761758,354.06985603188133,5802.196440503154,8221.14600099542,9342.481712851393,-2.6384653896716177,0.367,0.013,0.62,0.0,0.0004,0.002
4775486282867457792,A,20.352913390440172,121.89818304153327,136.62953117411755,151.259909772181,136.62953117411755,8143.862515448036,8221.79872193437,8293.69307871152,-6.912487485800629,0.0,0.0,1.0,0.0,0.0,0.0
2142379410084286848,B,20.04009572684076,204.87609469515175,248.2705564337753,305.30547085305824,248.2705564337753,8081.244537238108,8222.399514350505,8363.168460917754,-10.922753949436967,0.0,0.0,1.0,0.0,0.0,0.0
5418454741194007296,A,14.57916995433702,71.95890191011759,96.72518736674236,119.97691325485921,96.72518736674236,8166.142989143628,8237.854492531827,8307.696690375315,-2.5283153207400773,0.0,0.0,1.0,0.0,0.0,0.0
1080715442139486720,A,16.435100048397555,-26.099166742487068,28.881367835282287,152.76511231527738,41.76733308254943,8029.592814118338,8247.736229529797,8281.931740197057,-0.9597250425139583,0.2722,0.1272,0.6006,0.0,0.0,0.0
1471118868311834624,B,15.249447837128203,-33.763612110827204,-12.041874776700073,0.9139693187354717,12.231281342743255,8236.733337201538,8250.527884507506,8263.272613982504,0.4489748947980684,0.5508,0.4312,0.018,0.0,0.0,0.0
