R_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
14.25,217.38818803369915,203.79011110565665,203.84642648295406,203.84642648295406,203.84642648295406,198.63486406896598,208.8181255188715
14.5,216.93440395975813,202.9826587361304,203.0363241335189,203.0363241335189,203.0363241335189,197.77573418250665,208.05931477284838
14.75,216.49041605663544,202.19265295942975,202.24383508332852,202.24383508332852,202.24383508332852,196.93502093928512,207.31699242750972
15.0,216.055895100234,201.41957323078194,201.4684257075723,201.4684257075723,201.4684257075723,196.1121871514695,206.59065567350243
15.25,215.630517852692,200.66290988364827,200.70957448580654,200.70957448580654,200.70957448580654,195.30670651109932,205.87981250655344
15.5,215.21396804425436,199.92216502148116,199.96677276041774,199.96677276041774,199.96677276041774,194.51806451614814,205.18398258793087
15.75,214.80593712476747,199.1968531781054,199.23952528014826,199.23952528014826,199.23952528014826,193.74575916135515,204.50269787733734
16.0,214.40612482308956,198.48650178500722,198.527350564707,198.527350564707,198.527350564707,192.989301432469,203.83550307614956
16.25,214.0142395467206,197.79065147789746,197.82978112091251,197.82978112091251,197.82978112091251,192.24821563659694,203.1819559130356
16.5,213.62999864890782,197.10885626991754,197.1463635361049,197.1463635361049,197.1463635361049,191.5220395963268,202.54162729901486
16.75,213.25312858621646,196.44068361463405,196.47665847057834,196.47665847057834,196.47665847057834,190.81032473103846,201.91410137483007
17.0,212.88336498596186,195.78571437839278,195.820240567413,195.820240567413,195.820240567413,190.11263604522193,201.29897546995159
17.25,212.52045263985298,195.1435427385764,195.17669829522785,195.17669829522785,195.17669829522785,189.4285520405714,200.6958599895317
17.5,212.16414543762812,194.51377602174472,194.54563373695402,194.54563373695402,194.54563373695402,188.75766456603836,200.1043782430807
17.75,211.81420625228776,193.89603449346112,193.92666233567385,193.92666233567385,193.92666233567385,188.0995786178327,199.5241662264817
18.0,211.47040678668364,193.28995110976163,193.31941260682805,193.31941260682805,193.31941260682805,187.45391209949864,198.95487236713134
18.25,211.1325273896706,192.69517123865668,192.72352582461326,192.72352582461326,192.72352582461326,186.8202955506076,198.39615724044165
18.5,210.80035684869844,192.11135235872166,192.13865568913462,192.13865568913462,192.13865568913462,186.19837185126582,197.847693264621
18.75,210.47369216460777,191.53816374070482,191.56446797981374,191.56446797981374,191.56446797981374,185.58779590849105,197.309164379535
19.0,210.15233831344304,190.9752861171138,191.000640199641,191.000640199641,191.000640199641,184.98823432953668,196.7802657144953
19.25,209.83610799929167,190.42241134393078,190.4468612140965,190.4468612140965,190.4468612140965,184.3993650864173,196.26070324902167
19.5,209.52482140147865,189.87924205790642,189.90283088790505,189.90283088790505,189.90283088790505,183.82087717518235,195.75019346993398
19.75,209.21830591886925,189.34549133229532,189.36825972223866,189.36825972223866,189.36825972223866,183.25247027288714,195.2484630275518
20.0,208.91639591354405,188.82088233339323,188.842868494508,188.842868494508,188.842868494508,182.6938543947009,194.75524839328486
20.25,208.61893245569772,188.30514797981124,188.32638790248433,188.32638790248433,188.32638790248433,182.14474955315796,194.27029552047986
20.5,208.32576307126368,187.79803060605855,187.81855821415533,187.81855821415533,187.81855821415533,181.60488542118992,193.79335951003245
20.75,208.0367414934721,187.29928163170254,187.3191289244327,187.3191289244327,187.3191289244327,181.07400100026604,193.32420428197625
21.0,207.7517274193013,186.8086612371125,186.82785841958574,186.82785841958574,186.82785841958574,180.5518442947022,192.86260225400395
21.25,207.4705862715703,186.3259380465762,186.34451365007283,186.34451365007283,186.34451365007283,180.03817199297586,192.408334027663
21.5,207.1931889672481,185.85088881939163,185.86886981226948,185.86886981226948,185.86886981226948,179.5327491566946,191.96118808278703
21.75,206.91941169240394,185.38329814938183,185.4007100394484,185.4007100394484,185.4007100394484,179.03534891770468,191.52096048057228
22.0,206.6491356841032,184.92295817314886,184.93982510224558,184.93982510224558,184.93982510224558,178.5457521836936,191.08745457558277
22.25,206.38224701944662,184.46966828727332,184.48601311874523,184.48601311874523,184.48601311874523,178.06374735252447,190.6604807368576
22.5,206.1186364118693,184.0232348745747,184.03907927423458,184.03907927423458,184.03907927423458,177.58913003544825,190.239856078211
22.75,205.85819901474198,183.58347103947082,183.59883555060767,183.59883555060767,183.59883555060767,177.12170278925834,189.8254041977366
23.0,205.60083423226095,183.15019635241308,183.1651004653435,183.1651004653435,183.1651004653435,176.66127485738903,189.41695492647156
23.25,205.3464455375651,182.72323660332086,182.73769881993448,182.73769881993448,182.73769881993448,176.2076619199025,189.014344086124
23.5,205.09494029798014,182.30242356389846,182.3164614576074,182.3164614576074,182.3164614576074,175.76068585226787,188.61741325572905
23.75,204.8462296072605,181.88759475868127,181.90122503014595,181.90122503014595,181.90122503014595,175.32017449279712,188.22600954706473
24.0,204.60022812467338,181.47859324463394,181.49183177360334,181.49183177360334,181.49183177360334,174.88596141857568,187.8399853886362
24.25,204.3568539207522,181.0752673990997,181.08812929267464,181.08812929267464,181.08812929267464,174.45788572970233,187.4591983180154
24.5,204.1160283295324,180.67747071588474,180.6899703534847,180.6899703534847,180.6899703534847,174.03579184163482,187.08351078230797
24.75,203.87767580707256,180.28506160925016,180.29721268453957,180.29721268453957,180.29721268453957,173.61952928542448,186.7127899465108
25.0,203.6417237960543,179.8979032255739,179.90971878558224,179.90971878558224,179.90971878558224,173.20895251561444,186.34690750951447
